City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Lucapa,AO,83.97,scattered clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
8,Nsanje,MW,96.19,clear sky,-16.92,35.262,Nsanje Discovery Lodge
14,Bambous Virieux,MU,82.4,scattered clouds,-20.3428,57.7575,Casa Tia Villa
19,Kavieng,PG,83.35,light rain,-2.5744,150.7967,Nusa Island Retreat
20,Manvi,IN,95.43,broken clouds,15.9833,77.05,My Manvi Home : AKSHAYA NILAYA
24,Xuddur,SO,92.59,clear sky,4.1213,43.8894,Banjanay Hotel
43,Bengkulu,ID,80.46,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
44,Hithadhoo,MV,84.96,broken clouds,-0.6,73.0833,Scoop Guest House
45,Port Blair,IN,86.77,overcast clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
47,Astanajapura,ID,83.53,overcast clouds,-6.8017,108.6311,nida nur arofah
49,Saint-Philippe,RE,82.4,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
65,Biu,NG,88.2,broken clouds,10.6129,12.1946,Emir's Palace
67,Butaritari,KI,83.79,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
73,Victoria,HK,88.0,scattered clouds,22.2855,114.1577,Mini Hotel Central
75,Georgetown,MY,87.01,light rain,5.4112,100.3354,Cititel Penang
80,Bathsheba,BB,80.6,broken clouds,13.2167,-59.5167,Atlantis Hotel
90,Obo,CF,90.03,scattered clouds,5.3998,26.4869,
96,Mumford,GH,83.97,overcast clouds,5.2618,-0.759,Spanish Villa
97,Souillac,MU,82.4,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
99,Mahebourg,MU,82.4,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
102,Kibala,TD,93.2,few clouds,9.1104,18.3463,hotel safari
107,Ankazoabo,MG,86.11,clear sky,-22.2833,44.5167,ENCEIN BUREAU CISCO
111,Ust-Tarka,RU,86.95,scattered clouds,55.5672,75.705,Pearl of Siberia
116,Muzaffarabad,PK,87.13,clear sky,34.37,73.4711,Pearl Continental Muzaffarabad
118,Dicabisagan,PH,82.99,few clouds,17.0818,122.4157,Nancy Montanes Bernardo
119,Sakakah,SA,98.6,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
121,Pennagaram,IN,91.31,broken clouds,12.1333,77.9,Ranga Lodge
122,Baherden,TM,93.18,clear sky,38.4362,57.4316,
128,Karwar,IN,82.69,overcast clouds,14.8,74.1333,Netalco Connects
135,Gamba,GA,83.32,light rain,-2.65,10.0,
145,Labuan,MY,87.8,heavy intensity rain,5.2767,115.2417,Tiara Labuan Hotel
153,Tshikapa,CD,89.19,broken clouds,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
163,Talavera,PH,91.4,broken clouds,15.6167,120.9333,R&G's Resort
164,Tual,ID,83.21,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
168,Saint-Georges,GD,80.6,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
169,Pasir Gudang,MY,86.0,moderate rain,1.4584,103.8805,Swan Garden Hotel
172,Mahibadhoo,MV,84.72,scattered clouds,3.7833,72.9667,Omadhoo Inn
173,Tyulgan,RU,85.71,clear sky,52.3405,56.166000000000004,Komfort
188,Banjarmasin,ID,82.4,overcast clouds,-3.3244,114.59100000000001,Swiss-Belhotel Borneo Banjarmasin
189,Quatre Cocos,MU,82.4,scattered clouds,-20.2078,57.7625,Veranda Palmar Beach Hotel
193,Vaitape,PF,80.64,scattered clouds,-16.5167,-151.75,Conrad Bora Bora Nui
195,Porto Novo,BJ,86.0,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
197,Tura,IN,91.45,few clouds,25.5198,90.2201,Hotel RIKMAN Continental
205,Majene,ID,81.88,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
208,Uruzgan,AF,80.53,clear sky,32.8333,66.0,
215,Buala,SB,81.55,light rain,-8.145,159.5921,Maringe Lagoon Lodge
219,Cap Malheureux,MU,81.0,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
222,Vangaindrano,MG,81.12,clear sky,-23.35,47.6,Hotel Fanilo
224,Abha,SA,84.2,scattered clouds,18.2164,42.5053,Abha Hotel
225,Banda Aceh,ID,83.55,moderate rain,5.5577,95.3222,Sulthan Hotel International
227,Kuryk,KZ,86.4,clear sky,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
230,Matara,LK,88.05,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
236,Kudahuvadhoo,MV,85.23,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
237,Bhadrachalam,IN,97.18,overcast clouds,17.6667,80.8833,Hotel Srinidhi Residency
242,Faanui,PF,80.64,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
243,Tangshan,CN,85.05,broken clouds,39.6333,118.1833,Civil Affairs Hotel
247,Khomeyn,IR,80.04,clear sky,33.6423,50.0789,موبایل مزدک (سجاد)
248,Paciran,ID,83.39,broken clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
249,Bonthe,SL,85.51,light rain,7.5264,-12.505,Bonthe Holiday Village
251,Puerto Escondido,MX,81.12,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
258,Cangzhou,CN,85.53,broken clouds,38.3167,116.8667,Jinji Express Hotel
261,Umm Lajj,SA,88.59,clear sky,25.0213,37.2685,Moon light Furnished Units
270,Ramon,PH,90.23,few clouds,16.7842,121.535,May traveller's Inn
274,Palauig,PH,86.22,broken clouds,15.435,119.9045,Myhousebythesea
276,Samarkand,UZ,89.6,clear sky,39.6542,66.9597,Ideal Hotel
279,Port-Gentil,GA,86.0,scattered clouds,-0.7193,8.7815,Fengshui Residence
281,Grand Gaube,MU,81.0,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
282,Na Klang,TH,96.8,broken clouds,17.3072,102.1889,สบายดี รีสอร์ท (อ.นากลาง จ.หนองบัวลำภู)
284,Santa Marta,CO,84.0,overcast clouds,11.2408,-74.199,Casa de Isabella
285,Dingle,PH,84.56,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
286,Bangkal,PH,82.17,overcast clouds,6.0667,121.0667,JB's Resort
287,Kasongo-Lunda,CD,87.28,overcast clouds,-6.4667,16.8167,
288,Indramayu,ID,83.93,broken clouds,-6.3264,108.32,Grand Trisula Hotel
289,Chipiona,ES,80.6,clear sky,36.7366,-6.437,Al Sur De Chipiona
291,Arys,KZ,87.8,clear sky,42.4252,68.795,Gostinitsa
293,Wanning,CN,86.7,broken clouds,18.8003,110.3967,Paradise Hotel
298,Semey,KZ,82.4,clear sky,50.4111,80.2275,Grand Hotel Semey
300,Malambo,CO,80.6,broken clouds,10.8595,-74.7739,Hotel Baly Express
303,Bairiki,KI,82.4,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
304,Sangueya,GN,83.17,overcast clouds,10.7,-14.3667,
308,Gbarnga,LR,82.42,overcast clouds,6.9956,-9.4722,Passion Hotel 2
311,Polovinnoye,RU,89.92,few clouds,54.7914,65.9864,
313,Kerman,IR,84.2,scattered clouds,30.2832,57.0788,هتل آپارتمان آسام
