City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,44.6,87,90,19.57,overcast clouds
1,Arraial Do Cabo,BR,-22.9661,-42.0278,66.2,94,40,2.3,scattered clouds
2,Atuona,PF,-9.8,-139.0333,79.2,71,63,13.51,broken clouds
3,Isangel,VU,-19.55,169.2667,77.0,88,90,11.34,overcast clouds
4,Lucapa,AO,-8.4192,20.7447,83.97,35,42,6.91,scattered clouds
5,Tautira,PF,-17.7333,-149.15,78.01,83,0,3.44,light rain
6,Pasco,US,28.292,-82.4165,64.0,82,94,7.18,overcast clouds
7,Port Elizabeth,ZA,-33.918,25.5701,64.4,52,0,20.71,clear sky
8,Nsanje,MW,-16.92,35.262,96.19,24,0,2.75,clear sky
9,Barrow,US,71.2906,-156.7887,26.6,86,90,9.22,light snow
10,Mar Del Plata,AR,-38.0023,-57.5575,51.01,93,90,4.61,overcast clouds
11,Bredasdorp,ZA,-34.5322,20.0403,62.6,55,20,5.75,few clouds
12,Ancud,CL,-41.8697,-73.8203,46.99,100,20,6.91,few clouds
13,Airai,TL,-8.9266,125.4092,60.67,86,100,3.02,overcast clouds
14,Bambous Virieux,MU,-20.3428,57.7575,82.4,57,40,12.66,scattered clouds
15,Pontianak,ID,-0.0333,109.3333,78.8,94,75,4.61,heavy intensity rain
16,Rikitea,PF,-23.1203,-134.9692,74.44,61,88,4.18,overcast clouds
17,Ocos,GT,14.5094,-92.1933,64.99,96,94,4.56,overcast clouds
18,Albany,US,42.6001,-73.9662,50.0,70,7,3.47,clear sky
19,Kavieng,PG,-2.5744,150.7967,83.35,79,93,15.03,light rain
20,Manvi,IN,15.9833,77.05,95.43,33,66,13.04,broken clouds
21,Makow Mazowiecki,PL,52.8649,21.1005,69.01,71,0,5.79,clear sky
22,Olawa,PL,50.9466,17.2926,64.0,67,40,10.36,scattered clouds
23,Bluff,NZ,-46.6,168.3333,44.01,87,90,5.01,overcast clouds
24,Xuddur,SO,4.1213,43.8894,92.59,37,1,17.45,clear sky
25,Qinhuangdao,CN,39.9317,119.5883,70.45,34,81,8.88,broken clouds
26,Yellowknife,CA,62.456,-114.3525,30.2,69,75,12.66,broken clouds
27,Dikson,RU,73.5069,80.5464,27.41,75,98,9.57,overcast clouds
28,Mehamn,NO,71.0357,27.8492,37.99,96,100,7.52,overcast clouds
29,Cape Town,ZA,-33.9258,18.4232,66.0,51,40,2.3,scattered clouds
30,Chokurdakh,RU,70.6333,147.9167,27.59,93,14,12.06,few clouds
31,Tasiilaq,GL,65.6145,-37.6368,32.0,64,9,2.33,clear sky
32,Mataura,NZ,-46.1927,168.8643,44.01,87,100,5.01,overcast clouds
33,Kaitangata,NZ,-46.2817,169.8464,46.99,69,100,14.0,light rain
34,Dubbo,AU,-32.25,148.6167,46.4,81,2,6.91,clear sky
35,Ushuaia,AR,-54.8,-68.3,44.6,57,40,14.97,scattered clouds
36,Jamestown,US,42.097,-79.2353,44.6,81,1,6.91,clear sky
37,Pangai,TO,-19.8,-174.35,78.85,83,17,18.03,few clouds
38,Nikolskoye,RU,59.7035,30.7861,73.99,40,0,17.9,clear sky
39,Hermanus,ZA,-34.4187,19.2345,63.0,63,64,1.99,broken clouds
40,Tigil,RU,57.8,158.6667,43.12,86,100,7.63,light rain
41,Ilulissat,GL,69.2167,-51.1,32.0,80,20,3.44,few clouds
42,Honiara,SB,-9.4333,159.95,79.47,87,49,7.94,scattered clouds
43,Bengkulu,ID,-3.8004,102.2655,80.46,86,100,7.23,light rain
44,Hithadhoo,MV,-0.6,73.0833,84.96,71,56,8.61,broken clouds
45,Port Blair,IN,11.6667,92.75,86.77,69,100,3.4,overcast clouds
46,Bethel,US,41.3712,-73.414,48.99,87,20,3.22,few clouds
47,Astanajapura,ID,-6.8017,108.6311,83.53,74,94,5.17,overcast clouds
48,Lebu,CL,-37.6167,-73.65,52.07,69,100,5.39,overcast clouds
49,Saint-Philippe,RE,-21.3585,55.7679,82.4,61,20,5.75,few clouds
50,Avarua,CK,-21.2078,-159.775,75.2,83,40,5.75,scattered clouds
51,Beaverlodge,CA,55.2166,-119.4361,51.8,62,90,13.8,overcast clouds
52,Vila Velha,BR,-20.3297,-40.2925,73.0,94,0,2.3,clear sky
53,Hobart,AU,-42.8794,147.3294,50.0,53,20,13.8,few clouds
54,Kodiak,US,57.79,-152.4072,37.4,87,90,5.75,overcast clouds
55,New Norfolk,AU,-42.7826,147.0587,50.0,73,77,1.01,broken clouds
56,Changtu,CN,42.7788,124.0955,74.52,27,4,7.65,clear sky
57,Provideniya,RU,64.3833,-173.3,30.2,86,90,4.47,overcast clouds
58,Muros,ES,42.7762,-9.0603,63.0,55,54,2.62,broken clouds
59,Ribeira Grande,PT,38.5167,-28.7,68.0,77,75,8.05,broken clouds
60,Vaini,TO,-21.2,-175.2,75.2,94,40,3.44,scattered clouds
61,Keetmanshoop,NA,-26.5833,18.1333,68.0,32,0,5.75,clear sky
62,Toppenish,US,46.3774,-120.3087,62.6,76,1,4.7,clear sky
63,Meulaboh,ID,4.1363,96.1285,79.14,87,100,12.1,overcast clouds
64,Port Moresby,PG,-9.4431,147.1797,78.8,94,75,10.36,broken clouds
65,Biu,NG,10.6129,12.1946,88.2,43,65,8.57,broken clouds
66,Port Alfred,ZA,-33.5906,26.891,65.43,53,8,18.43,clear sky
67,Butaritari,KI,3.0707,172.7902,83.79,77,39,18.3,scattered clouds
68,Esperance,AU,-33.8667,121.9,68.0,45,100,11.5,overcast clouds
69,Baykit,RU,61.67,96.37,38.68,40,100,8.46,overcast clouds
70,Coquimbo,CL,-29.9533,-71.3436,53.6,87,90,4.61,overcast clouds
71,Kapaa,US,22.0752,-159.319,73.4,68,40,14.97,scattered clouds
72,Graham,US,47.0529,-122.2943,53.01,93,90,4.41,overcast clouds
73,Victoria,HK,22.2855,114.1577,88.0,80,33,1.01,scattered clouds
74,Carnarvon,AU,-24.8667,113.6333,73.4,83,97,6.91,overcast clouds
75,Georgetown,MY,5.4112,100.3354,87.01,74,20,9.22,light rain
76,Juli,PE,-16.2167,-69.45,34.09,81,10,2.35,clear sky
77,Boden,SE,65.8252,21.6886,46.4,93,75,5.75,broken clouds
78,Jaciara,BR,-15.9653,-54.9683,68.07,67,100,0.47,overcast clouds
79,Chimbote,PE,-9.0853,-78.5783,62.92,94,31,6.46,scattered clouds
80,Bathsheba,BB,13.2167,-59.5167,80.6,65,75,19.57,broken clouds
81,Baloda,IN,22.15,82.4833,104.58,21,7,7.0,clear sky
82,Ontario,US,34.0633,-117.6509,57.99,88,90,5.75,overcast clouds
83,Vestmannaeyjar,IS,63.4427,-20.2734,39.2,81,75,6.91,broken clouds
84,Mount Isa,AU,-20.7333,139.5,68.0,17,0,9.22,clear sky
