City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hobart,AU,2021-05-12 04:54:34,-42.8794,147.3294,57.99,62,75,8.05
1,Arlit,NE,2021-05-12 04:54:35,18.7369,7.3853,85.06,10,0,5.41
2,Vestmanna,FO,2021-05-12 04:54:35,62.1564,-7.1664,37.4,75,75,8.05
3,Agadez,NE,2021-05-12 04:54:35,19.75,10.25,83.97,10,0,6.73
4,Lompoc,US,2021-05-12 04:54:36,34.6391,-120.4579,54.0,94,9,4.61
5,Barrow,US,2021-05-12 04:54:36,71.2906,-156.7887,17.6,79,90,9.22
6,Lebu,CL,2021-05-12 04:54:36,-37.6167,-73.65,49.82,79,41,10.16
7,Lorengau,PG,2021-05-12 04:54:37,-2.0226,147.2712,76.68,93,100,5.61
8,Rikitea,PF,2021-05-12 04:54:37,-23.1203,-134.9692,77.81,78,29,22.84
9,Saint-Philippe,RE,2021-05-12 04:54:38,-21.3585,55.7679,80.6,57,0,2.3
10,New Norfolk,AU,2021-05-12 04:54:38,-42.7826,147.0587,57.99,70,5,1.99
11,Vao,NC,2021-05-12 04:54:38,-22.6667,167.4833,74.91,78,99,19.6
12,Kodiak,US,2021-05-12 04:54:39,57.79,-152.4072,41.47,84,100,3.13
13,Stornoway,GB,2021-05-12 04:54:39,58.2093,-6.3865,46.4,93,75,13.8
14,Pyaozerskiy,RU,2021-05-12 04:54:40,65.8333,31.1667,50.07,84,100,1.66
15,Port Hedland,AU,2021-05-12 04:54:40,-20.3167,118.5667,93.2,22,0,11.5
16,Baisha,CN,2021-05-12 04:54:40,26.5222,110.9311,77.95,86,100,1.61
17,Galway,IE,2021-05-12 04:54:41,53.2719,-9.0489,46.4,93,75,6.91
18,Mataura,NZ,2021-05-12 04:54:41,-46.1927,168.8643,48.99,68,10,1.01
19,Jamestown,US,2021-05-12 04:54:42,42.097,-79.2353,41.0,81,90,6.91
20,Arraial Do Cabo,BR,2021-05-12 04:51:20,-22.9661,-42.0278,68.88,81,11,5.68
21,Cidreira,BR,2021-05-12 04:54:42,-30.1811,-50.2056,55.36,75,64,7.2
22,Jackson,US,2021-05-12 04:53:18,42.4165,-122.8345,71.6,24,1,6.91
23,San Patricio,US,2021-05-12 04:54:43,28.017,-97.5169,80.6,94,90,6.91
24,Busselton,AU,2021-05-12 04:54:43,-33.65,115.3333,61.0,70,92,5.01
25,Iqaluit,CA,2021-05-12 04:54:44,63.7506,-68.5145,26.6,93,75,8.05
26,Butaritari,KI,2021-05-12 04:54:44,3.0707,172.7902,82.74,75,100,10.36
27,Ushuaia,AR,2021-05-12 04:54:44,-54.8,-68.3,53.6,50,40,6.91
28,Longyearbyen,SJ,2021-05-12 04:54:45,78.2186,15.6401,23.0,80,75,1.14
29,Punta Arenas,CL,2021-05-12 04:54:45,-53.15,-70.9167,46.4,71,75,14.97
30,Atuona,PF,2021-05-12 04:54:46,-9.8,-139.0333,80.42,80,18,25.32
31,Antalaha,MG,2021-05-12 04:54:46,-14.9003,50.2788,77.18,70,24,6.44
32,Margate,GB,2021-05-12 04:54:47,51.3813,1.3862,48.99,78,11,1.99
33,Gondanglegi,ID,2021-05-12 04:54:47,-7.7479,112.0132,89.91,54,33,7.43
34,Qaanaaq,GL,2021-05-12 04:54:47,77.484,-69.3632,20.37,90,100,7.43
35,Spokane,US,2021-05-12 04:52:58,47.6166,-117.3677,62.6,38,1,3.44
36,Mubende,UG,2021-05-12 04:54:49,0.5606,31.39,62.26,99,100,1.66
37,Yellowknife,CA,2021-05-12 04:53:39,62.456,-114.3525,30.2,69,20,4.61
38,Tasiilaq,GL,2021-05-12 04:54:49,65.6145,-37.6368,26.6,93,75,14.97
39,San Rafael Del Sur,NI,2021-05-12 04:54:49,11.8485,-86.4384,80.6,78,40,6.91
40,Ondjiva,AO,2021-05-12 04:54:50,-17.0667,15.7333,55.47,44,0,7.05
41,Cabo San Lucas,MX,2021-05-12 04:52:13,22.8909,-109.9124,78.01,79,54,9.8
42,Georgetown,MY,2021-05-12 04:54:01,5.4112,100.3354,89.01,74,20,4.61
43,Nanyuki,KE,2021-05-12 04:54:51,0.0167,37.0728,59.7,89,100,2.82
44,Hermanus,ZA,2021-05-12 04:54:51,-34.4187,19.2345,53.01,97,40,5.26
45,Simbahan,PH,2021-05-12 04:54:51,6.3032,120.5836,82.87,76,100,6.89
46,Itarema,BR,2021-05-12 04:50:00,-2.9248,-39.9167,74.7,89,49,9.4
47,Faya,SA,2021-05-12 04:54:52,18.3851,42.4509,69.8,45,20,1.34
48,Bluff,NZ,2021-05-12 04:54:52,-46.6,168.3333,48.99,68,19,1.01
